ProblemType,GraphFile,Technique,RootVertex,ExecutionTime_s,RunTestsSummary
MaxCycle,graph_test_n5.txt,-bf,1,0.07,"Max Cycle - Força Bruta - Tamanho Máximo do Ciclo: 5; Max Cycle - Força Bruta - Caminho do Ciclo: [1; 0; 4; 3; 2; 1]"
MaxCycle,graph_test_n5.txt,-heur,1,0.06,"Max Cycle - Heurística Randomizada - Tamanho Máximo do Ciclo: 3; Max Cycle - Heurística Randomizada - Caminho do Ciclo: [1; 4; 2; 1]"
MaxCycle,graph_test_n5.txt,-bnb,1,0.06,"Max Cycle - Branch and Bound - Tamanho Máximo do Ciclo: 5; Max Cycle - Branch and Bound - Caminho do Ciclo: [1; 0; 4; 3; 2; 1]"
MaxCycle,graph_test_n15.txt,-bf,1,0.08,"Max Cycle - Força Bruta - Tamanho Máximo do Ciclo: 11; Max Cycle - Força Bruta - Caminho do Ciclo: [1; 2; 10; 4; 0; 13; 14; 7; 12; 11; 9; 1]"
MaxCycle,graph_test_n15.txt,-heur,1,0.10,"Max Cycle - Heurística Randomizada: Nenhum ciclo encontrado passando pela raiz 1; ou raiz inválida (ex: grau < 2 ou não está no grafo)."
MaxCycle,graph_test_n15.txt,-bnb,1,0.08,"Max Cycle - Branch and Bound - Tamanho Máximo do Ciclo: 11; Max Cycle - Branch and Bound - Caminho do Ciclo: [1; 2; 10; 4; 0; 13; 14; 7; 12; 11; 9; 1]"
MaxCycle,graph_test_n25.txt,-bf,1,5.63,"Max Cycle - Força Bruta - Tamanho Máximo do Ciclo: 23; Max Cycle - Força Bruta - Caminho do Ciclo: [1; 16; 20; 22; 2; 8; 21; 12; 19; 5; 3; 18; 14; 7; 13; 9; 0; 6; 15; 24; 23; 10; 17; 1]"
MaxCycle,graph_test_n25.txt,-heur,1,0.07,"Max Cycle - Heurística Randomizada - Tamanho Máximo do Ciclo: 11; Max Cycle - Heurística Randomizada - Caminho do Ciclo: [1; 20; 12; 5; 24; 18; 8; 3; 7; 15; 16; 1]"
MaxCycle,graph_test_n25.txt,-bnb,1,5.71,"Max Cycle - Branch and Bound - Tamanho Máximo do Ciclo: 23; Max Cycle - Branch and Bound - Caminho do Ciclo: [1; 16; 20; 22; 2; 8; 21; 12; 19; 5; 3; 18; 14; 7; 13; 9; 0; 6; 15; 24; 23; 10; 17; 1]"
MDS,graph_test_n5.txt,-bf,N/A,0.06,"MDS - Força Bruta - Tamanho do Conjunto Dominante: 1; MDS - Força Bruta - Tamanho do Conjunto Dominante: 1 MDS - Força Bruta - Conjunto Dominante: [4]"
MDS,graph_test_n5.txt,-heur,N/A,0.06,"MDS - Iterated Greedy (Heurística) - Tamanho do Conjunto Dominante: 3; MDS - Iterated Greedy (Heurística) - Tamanho do Conjunto Dominante: 3 MDS - Iterated Greedy (Heurística) - Conjunto Dominante: [1; 2; 4]"
MDS,graph_test_n5.txt,-bnb,N/A,0.06,"MDS - Branch and Bound - Tamanho do Conjunto Dominante: 1; MDS - Branch and Bound - Tamanho do Conjunto Dominante: 1 MDS - Branch and Bound - Conjunto Dominante: [4]"
MDS,graph_test_n15.txt,-bf,N/A,0.09,"MDS - Força Bruta - Tamanho do Conjunto Dominante: 5; MDS - Força Bruta - Tamanho do Conjunto Dominante: 5 MDS - Força Bruta - Conjunto Dominante: [0; 2; 3; 7; 9]"
MDS,graph_test_n15.txt,-heur,N/A,0.07,"MDS - Iterated Greedy (Heurística) - Tamanho do Conjunto Dominante: 7; MDS - Iterated Greedy (Heurística) - Tamanho do Conjunto Dominante: 7 MDS - Iterated Greedy (Heurística) - Conjunto Dominante: [0; 1; 8; 9; 10; 12; 14]"
MDS,graph_test_n15.txt,-bnb,N/A,0.06,"MDS - Branch and Bound - Tamanho do Conjunto Dominante: 5; MDS - Branch and Bound - Tamanho do Conjunto Dominante: 5 MDS - Branch and Bound - Conjunto Dominante: [0; 2; 3; 7; 9]"
MDS,graph_test_n25.txt,-bf,N/A,4.35,"MDS - Força Bruta - Tamanho do Conjunto Dominante: 6; MDS - Força Bruta - Tamanho do Conjunto Dominante: 6 MDS - Força Bruta - Conjunto Dominante: [0; 1; 2; 7; 8; 11]"
MDS,graph_test_n25.txt,-heur,N/A,0.07,"MDS - Iterated Greedy (Heurística) - Tamanho do Conjunto Dominante: 14; MDS - Iterated Greedy (Heurística) - Tamanho do Conjunto Dominante: 14 MDS - Iterated Greedy (Heurística) - Conjunto Dominante: [0; 1; 2; 5; 7; 8; 9; 10; 12; 15; 18; 19; 20; 23]"
MDS,graph_test_n25.txt,-bnb,N/A,0.12,"MDS - Branch and Bound - Tamanho do Conjunto Dominante: 6; MDS - Branch and Bound - Tamanho do Conjunto Dominante: 6 MDS - Branch and Bound - Conjunto Dominante: [0; 1; 2; 11; 12; 18]"
